epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5796171426773071,1.6542590856552124,0.001,0.7174258232116699,1.022312045097351
1,0.7124488353729248,1.0741474628448486,0.001,0.7285487055778503,0.9661107659339905
2,0.7621782422065735,0.8627157807350159,0.001,0.7439088821411133,0.9345061182975769
3,0.8001716136932373,0.7033573985099792,0.001,0.7510592937469482,0.9170202016830444
4,0.8314323425292969,0.5806149244308472,0.001,0.7529131174087524,0.957685112953186
